post_date,engagement,close_value,volume,open_value,high_value,low_value,prev_close,return,price_class,len_modify_body,comp_clean,pos_clean,neg_clean,neu_clean
2019-07-19,23,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,124,0.8689,0.366,0.0,0.634
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,95,-0.7906,0.36,0.5,0.14
2019-07-19,6,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,28,0.7184,0.556,0.0,0.444
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,13,0.7184,0.833,0.0,0.167
2019-07-19,4,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,34,0.0,0.333,0.333,0.333
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,19,-0.2732,0.0,0.512,0.488
2019-07-19,31,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,26,-0.7184,0.0,0.625,0.375
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,36,-0.4588,0.0,0.429,0.571
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,44,0.3182,0.223,0.0,0.777
2019-07-19,13,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,95,-0.6908,0.231,0.366,0.403
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,31,0.875,0.692,0.0,0.308
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,52,0.4588,0.444,0.278,0.278
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,15,0.5859,0.655,0.0,0.345
2019-07-19,16,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,85,0.9001,0.476,0.0,0.524
2019-07-19,31,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,95,-0.6908,0.231,0.366,0.403
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,94,0.0,0.217,0.261,0.522
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,67,0.6124,0.333,0.0,0.667
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,72,-0.9274,0.091,0.53,0.379
2019-07-19,15,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,186,0.7506,0.325,0.218,0.456
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,60,-0.4019,0.386,0.444,0.171
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,6,0.0,0.0,0.0,1.0
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,38,-0.4588,0.312,0.5,0.188
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,81,-0.9001,0.229,0.543,0.229
2019-07-19,5,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,149,0.0,0.235,0.235,0.529
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,8,0.0,0.0,0.0,1.0
2019-07-19,5,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,12,-0.3182,0.0,0.697,0.303
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,79,-0.6808,0.242,0.379,0.379
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,14,0.0,0.0,0.0,1.0
2019-07-19,10,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,48,0.4588,0.45,0.35,0.2
2019-07-19,15,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,75,0.7906,0.5,0.269,0.231
2019-07-19,7,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,84,0.875,0.474,0.0,0.526
2019-07-19,11,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,44,-0.9118,0.239,0.654,0.107
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,40,-0.6124,0.0,0.444,0.556
2019-07-19,6,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,22,0.6124,0.571,0.0,0.429
2019-07-19,6,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,57,-0.8402,0.0,0.471,0.529
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,18,0.0,0.0,0.0,1.0
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,74,0.7184,0.429,0.19,0.381
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,102,-0.4588,0.405,0.468,0.127
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,11,0.0,0.0,0.0,1.0
2019-07-19,11,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,34,0.9313,0.928,0.0,0.072
2019-07-19,21,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,170,-0.9794,0.111,0.584,0.305
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,104,0.7964,0.431,0.0,0.569
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,6,0.4019,1.0,0.0,0.0
2019-07-19,12,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,125,0.7184,0.276,0.103,0.621
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,73,0.6124,0.429,0.238,0.333
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,31,0.4767,0.506,0.241,0.253
2019-07-19,3,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,63,0.6124,0.45,0.25,0.3
2019-07-19,2,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,46,-0.8402,0.0,0.615,0.385
2019-07-19,29,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,83,-0.9371,0.106,0.61,0.285
2019-07-19,1,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,26,0.6124,0.571,0.0,0.429
2019-07-19,12,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,62,0.2263,0.365,0.265,0.37
2019-07-19,8,136.62,48992360,140.22,140.67,136.45,136.42,0.20000000000001705,1,39,-0.25,0.308,0.385,0.308
